Ballot No,Name,Post,Total,Position
12,মারজজয়া মোহসন জাতমলা,সহ-সভাপতি,35,11
13,মােদী োসান,সহ-সভাপতি,9,22
14,"মুোম্মাদ আব্ু তিয়ব্
(োতব্লদার)",সহ-সভাপতি,10,20
15,মমা: মদহলায়ার মোহসন,সহ-সভাপতি,12,19
16,মমা: আজগর ব্যাপারী,সহ-সভাপতি,6,28
17,"মমা: জামাল উদ্দীন
(খাতলদ)",সহ-সভাপতি,503,6
18,মমা: শাতফ রেমান,সহ-সভাপতি,6,28
19,মমা: তব্নইয়ামীন মমাল্লা,সহ-সভাপতি,136,7
20,মমাোঃ আিাউর রেমান তশপন,সহ-সভাপতি,5,33
21,মমাোঃ আতব্দুল ইসলাম খান,সহ-সভাপতি,5708,2
22,"মমাোঃ আব্ু সাতদক
(সাতদক কাহয়ম)",সহ-সভাপতি,14042,1
23,মমাোঃ আব্ুল মোসাইন,সহ-সভাপতি,7,25
24,মমাোঃ ইয়াতছন আরাফাি,সহ-সভাপতি,62,9
25,মমাোঃ উজ্জল মোহসন,সহ-সভাপতি,6,28
27,মমাোঃ নাইম োসান,সহ-সভাপতি,24,14
28,মমাোঃ নাতছম উজদ্দন,সহ-সভাপতি,2,39
29,মমাোঃ ফয়সাল আেহমদ,সহ-সভাপতি,4,35
30,মমাোঃ মুদাব্বীর রেমান,সহ-সভাপতি,3,36
31,মমাোঃ রাহসল মােমুদ,সহ-সভাপতি,7,25
32,মমাোঃ সুজন মোহসন,সহ-সভাপতি,1,42
33,মমাোঃ মসাোনুর রেমান,সহ-সভাপতি,2,39
34,মমাোঃ োতব্ব্ুল্লাে,সহ-সভাপতি,2,39
35,মমাোঃ মেলালুর রেমান,সহ-সভাপতি,3,36
36,মমাসাোঃ জান্নািী ব্ুলব্ুল,সহ-সভাপতি,6,28
37,যাহয়দ তব্ন ইকব্াল,সহ-সভাপতি,7,25
38,রাতকব্ুল োসান,সহ-সভাপতি,1,42
39,রাহসল েক,সহ-সভাপতি,1,42
40,রাহুল মদব্ রায়,সহ-সভাপতি,20,16
41,তরয়াজ উজদ্দন আেহমদ,সহ-সভাপতি,8,23
42,শামীম মোহসন,সহ-সভাপতি,3883,3
43,শাে্ জামাল সাহয়ম,সহ-সভাপতি,3,36
44,"মশখ িাসতনম
আফহরাজ (ইতম)",সহ-সভাপতি,68,8
45,সুতমি মসন,সহ-সভাপতি,14,18
1,অতদতি ইসলাম,সহ-সাধারণ সম্পাদক,367,11
2,আকাশ তব্শ্বাস ইমু,সহ-সাধারণ সম্পাদক,222,16
3,আরমানুল েক,সহ-সাধারণ সম্পাদক,186,18
4,আলা উজদ্দন,সহ-সাধারণ সম্পাদক,136,19
5,আশহরফা খািুন,সহ-সাধারণ সম্পাদক,900,6
6,আেনাফ মোহসন মdৌধুরী আতদল,সহ-সাধারণ সম্পাদক,83,20
7,জাহেদ আেমদ,সহ-সাধারণ সম্পাদক,242,15
8,িানভীর আল োতদ মাহয়দ,সহ-সাধারণ সম্পাদক,5064,2
9,িােমীদ আল মুদ্দাসসীর মdৌধুরী,সহ-সাধারণ সম্পাদক,3008,3
10,ফরোদ মোহসন,সহ-সাধারণ সম্পাদক,366,12
11,"ফাহিো শারতমন
(এযাতন)",সহ-সাধারণ সম্পাদক,501,8
12,ফাোদ আব্দুল্লাে,সহ-সাধারণ সম্পাদক,82,21
13,মাতেউদ্দীন আতব্দ,সহ-সাধারণ সম্পাদক,253,14
14,মুোোঃ মতেউদ্দীন খান,সহ-সাধারণ সম্পাদক,11772,1
15,মমা: আতশকুর রেমান জীম,সহ-সাধারণ সম্পাদক,796,7
16,মমা: শােতরয়ার নাতফস,সহ-সাধারণ সম্পাদক,67,25
17,"মমা. আেহম্মদ
োহশমী মদশ",সহ-সাধারণ সম্পাদক,71,23
18,মমা. জাতব্র আেহমদ জুহব্ল,সহ-সাধারণ সম্পাদক,1511,4
19,"মমা. োতসব্ুল ইসলাম
(োতসব্ আল-ইসলাম)",সহ-সাধারণ সম্পাদক,500,9
20,মমাোঃ জুব্াইরুল োসান,সহ-সাধারণ সম্পাদক,70,24
21,"মমাোঃ মতেউজদ্দন
োওলাদার (মতেউজদ্দন রতন)",সহ-সাধারণ সম্পাদক,1137,5
22,মমাোঃ মুস্তাতকম তব্ল্লাে রাতকব্,সহ-সাধারণ সম্পাদক,77,22
23,রাতকব্ুল ইসলাম,সহ-সাধারণ সম্পাদক,277,13
24,"সানজানা আতফফা
(অতদতি)",সহ-সাধারণ সম্পাদক,373,10
25,তসয়দ মমাোঃ সামীর ফাইয়াজ,সহ-সাধারণ সম্পাদক,211,17
1,আরাফাি মdৌধুরী,সাধারণ সম্পাদক,4044,4
2,আল সাতদ ভূইয়া,সাধারণ সম্পাদক,271,7
3,এনামুল োসান অনয়,সাধারণ সম্পাদক,75,11
4,"এস, এম, ফরোদ",সাধারণ সম্পাদক,10794,1
5,মােমুদুল োসান,সাধারণ সম্পাদক,84,10
6,মমঘমল্লার ব্সু,সাধারণ সম্পাদক,4949,3
7,মমা নাইম ইসলাম,সাধারণ সম্পাদক,38,13
8,মমা: আতশকুর রেমান,সাধারণ সম্পাদক,526,6
9,মমা: মমাস্তাতকম তব্ল্লাে মাসুম,সাধারণ সম্পাদক,54,12
10,মমা. খায়রুল আেসান মারজান,সাধারণ সম্পাদক,163,8
11,মমাোঃ আব্ু ব্াহখর মজুমদার,সাধারণ সম্পাদক,2131,5
12,মমাোঃ আব্ু সায়াদ তব্ন মাতেন সরকার,সাধারণ সম্পাদক,37,14
13,মমাোঃ তনয়াজ মাখদুম,সাধারণ সম্পাদক,6,19
14,মমাোঃ রতকব্ুল োসান মুন্না,সাধারণ সম্পাদক,28,15
15,মমাোঃ শতরফুল ইসলাম ভূইয়া,সাধারণ সম্পাদক,13,17
16,মমাোঃ সম্রাট ইসলাম,সাধারণ সম্পাদক,24,16
17,"মশখ িানভীর ব্ারী
োতমম",সাধারণ সম্পাদক,5283,2
18,সাইয়াদুল ব্াশার,সাধারণ সম্পাদক,9,18
19,সাতব্না ইয়াসতমন,সাধারণ সম্পাদক,148,9
1,অতনদ োসান,সাহিত্য ও সাংস্কৃতিক সম্পাদক,1036,9
2,"আব্দুল্লাে ইব্হন
োসান জাতমল",সাহিত্য ও সাংস্কৃতিক সম্পাদক,377,14
3,"আব্ু োয়াি মমাোঃ
জুলতফকার (মজসান)",সাহিত্য ও সাংস্কৃতিক সম্পাদক,1723,4
4,"এইd. এম. আতমরুল কতরম
(অতম)",সাহিত্য ও সাংস্কৃতিক সম্পাদক,1284,7
5,জজতনয়া আক্তার সুইটট,সাহিত্য ও সাংস্কৃতিক সম্পাদক,1010,10
6,নাঈম মোহসন,সাহিত্য ও সাংস্কৃতিক সম্পাদক,330,16
7,নুরুল ইসলাম,সাহিত্য ও সাংস্কৃতিক সম্পাদক,2747,2
8,ফাতরয়া মতিন (ইলা),সাহিত্য ও সাংস্কৃতিক সম্পাদক,2147,3
9,মুসাজদ্দক আলী ইব্হন মমাোম্মাদ,সাহিত্য ও সাংস্কৃতিক সম্পাদক,7782,1
10,মমা: আব্ু রাহশদ,সাহিত্য ও সাংস্কৃতিক সম্পাদক,377,14
11,মমা: মাোব্ুব্ খালাসী,সাহিত্য ও সাংস্কৃতিক সম্পাদক,1190,8
12,মমা: নাজমুল োসান,সাহিত্য ও সাংস্কৃতিক সম্পাদক,202,17
13,মমাোঃ ইব্রাতেম আদল,সাহিত্য ও সাংস্কৃতিক সম্পাদক,1384,6
14,মমাোঃ পারহভজ মােমুদ তনলয়,সাহিত্য ও সাংস্কৃতিক সম্পাদক,991,11
15,মমাোঃ লানজু খান,সাহিত্য ও সাংস্কৃতিক সম্পাদক,1531,5
16,মমােিাতসন তব্ল্লাে ইমন,সাহিত্য ও সাংস্কৃতিক সম্পাদক,788,12
17,মমাোম্মদ নাতেয়ান ফারুক,সাহিত্য ও সাংস্কৃতিক সম্পাদক,430,13
18,তরদওয়ান মানছুর,সাহিত্য ও সাংস্কৃতিক সম্পাদক,47,19
19,সাব্-আ মাসাতন,সাহিত্য ও সাংস্কৃতিক সম্পাদক,106,18
1,আহনায়ার মোসাইন,স্বাস্থ্য ও পরিবেশ সম্পাদক,2635,4
2,ইসরাি জাোন তনঝুম,স্বাস্থ্য ও পরিবেশ সম্পাদক,2496,5
3,"এম এম আল তমনোজ (আব্দুল্লাে আল তমনোজ)",স্বাস্থ্য ও পরিবেশ সম্পাদক,7038,1
4,তমনোজুল ইসলাম ফারোন,স্বাস্থ্য ও পরিবেশ সম্পাদক,466,13
5,মুোম্মদ মাসঊদুল ব্ারী,স্বাস্থ্য ও পরিবেশ সম্পাদক,475,12
6,মমহেতরন আফহরাজ মাইশা,স্বাস্থ্য ও পরিবেশ সম্পাদক,815,8
7,মমা: মােমুদ োসান,স্বাস্থ্য ও পরিবেশ সম্পাদক,174,15
8,মমা. সাতকব্ুর রেমান রতন,স্বাস্থ্য ও পরিবেশ সম্পাদক,549,10
9,মমাোঃ মুঈনুল ইসলাম,স্বাস্থ্য ও পরিবেশ সম্পাদক,345,14
10,মমাোঃ মমহেতদ োসান,স্বাস্থ্য ও পরিবেশ সম্পাদক,1212,7
11,মমাোম্মদ আলী শাি,স্বাস্থ্য ও পরিবেশ সম্পাদক,508,11
12,রাতকব্ মোহসন গাজী,স্বাস্থ্য ও পরিবেশ সম্পাদক,569,9
13,শােতরয়ার মমাোম্মদ ইয়াতমন,স্বাস্থ্য ও পরিবেশ সম্পাদক,2965,2
14,মশখ িাসনুভা সৃটি,স্বাস্থ্য ও পরিবেশ সম্পাদক,2087,6
15,সাজব্বর আেহমদ,স্বাস্থ্য ও পরিবেশ সম্পাদক,2949,3
